title,runtimeMinutes,is_successful,averageRating,technique,era,country
The Garfield Show,25.0,0,5.8,CGI,Modern (97-09),Coproduction
Danny Phantom,30.0,1,7.2,Traditional,Modern (97-09),United States
The Freak Brothers,25.0,0,6.0,Flash,Streaming Era (2010+),United States
The Wombles,10.0,0,7.2,Stop Motion,Modern (97-09),Coproduction
Super Duper Sumos,30.0,0,3.7,Traditional,Modern (97-09),United States
Bali,13.0,0,7.6,Traditional,Modern (97-09),Coproduction
Tracey McBean,11.0,0,6.6,Traditional,Modern (97-09),Australia
King Star King,15.0,0,5.7,Flash/Traditional,Streaming Era (2010+),United States
The Busy World of Richard Scarry,30.0,1,7.4,Traditional,Golden Age (85-96),Coproduction
Mortal Kombat: Defenders of the Realm,30.0,0,5.8,Traditional,Golden Age (85-96),United States
Mr. Pickles,15.0,1,7.3,Flash,Streaming Era (2010+),United States
Pinocchio,59.0,1,8.0,Traditional,Streaming Era (2010+),United States
Grojband,22.0,0,6.7,Flash,Streaming Era (2010+),Canada
Walter Melon,26.0,0,6.4,Traditional,Modern (97-09),Coproduction
Pinky Malinky,12.0,0,5.9,Flash,Streaming Era (2010+),United States
Make Way for Noddy,15.0,0,5.8,CGI,Modern (97-09),Coproduction
Valt the Wonder Deer,13.0,1,8.3,Flash,Streaming Era (2010+),Coproduction
Black Dynamite,22.0,1,8.1,Flash,Streaming Era (2010+),United States
"Rubbish, King of the Jumble",10.0,1,8.6,Traditional,Golden Age (85-96),United Kingdom
Endangered Species,22.0,0,5.8,CGI,Streaming Era (2010+),Canada
Animal Stories,5.0,1,7.5,Traditional,Modern (97-09),United States
Roboroach,30.0,0,6.8,Traditional,Modern (97-09),Canada
Animal Mechanicals,11.0,0,6.2,CGI,Modern (97-09),Canada
Lupo Alberto,30.0,0,6.7,Traditional,Modern (97-09),Italy
Littlest Pet Shop: A World of Our Own,11.0,0,5.8,Flash,Streaming Era (2010+),United States
Bob the Builder,10.0,0,5.7,Stop Motion,Modern (97-09),Ireland
Sea Princesses,12.0,0,5.6,Flash,Modern (97-09),Coproduction
Sealab 2021,11.0,1,7.8,Flash,Modern (97-09),United States
My Big Big Friend,11.0,0,7.3,Flash,Streaming Era (2010+),Coproduction
The Loud House,22.0,1,6.9,Traditional (season 1—3) Flash/Toon Boom (since season 4),Streaming Era (2010+),United States
Ella the Elephant,11.0,0,6.7,CGI,Streaming Era (2010+),Canada
The Lion Guard,30.0,0,6.4,Flash/Toon Boom[1],Streaming Era (2010+),United States
Kleo the Misfit Unicorn,26.0,0,7.6,Traditional,Golden Age (85-96),Canada
Looney Tunes Cartoons,12.0,1,8.0,Traditional/Flash,Streaming Era (2010+),United States
Craig of the Creek,30.0,1,7.6,Traditional,Streaming Era (2010+),United States
Happy Ness: The Secret of the Loch,23.0,1,8.2,Traditional,Golden Age (85-96),United Kingdom
Being Ian,30.0,0,6.4,Flash,Modern (97-09),Canada
Skeleton Warriors,30.0,0,7.0,Traditional,Golden Age (85-96),United States
The Morph Files,10.0,0,7.3,Stop Motion,Golden Age (85-96),United Kingdom
We Bare Bears,30.0,1,7.8,Traditional,Streaming Era (2010+),United States
Elliot Moose,22.0,0,6.5,"Traditional, Live-Action",Modern (97-09),Canada
Bert and Ernie's Great Adventures,5.0,1,8.3,Stop Motion,Modern (97-09),Coproduction
Sheriff Callie's Wild West,25.0,0,6.2,CGI,Streaming Era (2010+),Coproduction
The Problem Solverz,11.0,0,2.0,Flash,Streaming Era (2010+),United States
Shelldon,22.0,0,6.7,CGI,Modern (97-09),Coproduction
Doodlez,2.0,0,7.2,Flash,Modern (97-09),Canada
The Brothers Flub,30.0,0,4.0,Traditional,Modern (97-09),United States
Lost In Oz,24.0,0,7.5,CGI,Streaming Era (2010+),United States
Danger Rangers,29.0,0,7.7,Traditional,Modern (97-09),United States
Tiny Planets,5.0,0,7.2,CGI,Modern (97-09),Coproduction
Rescue Heroes,30.0,0,6.7,Traditional,Modern (97-09),Canada
Queer Duck,4.0,0,6.2,Flash,Modern (97-09),United States
Hot Streets,10.0,0,6.0,Flash,Streaming Era (2010+),United States
Pucca,6.0,0,6.6,Flash,Modern (97-09),Coproduction
Lulu Vroumette,13.0,1,7.9,CGI,Streaming Era (2010+),France
Kaeloo,7.0,1,7.9,CGI,Streaming Era (2010+),France
Sharky & George,26.0,0,6.9,Traditional,Golden Age (85-96),Coproduction
101 Dalmatian Street,22.0,0,6.0,Toon Boom Harmony,Streaming Era (2010+),Coproduction
Star Street: The Adventures of the Star Kids,30.0,0,7.6,Traditional,Golden Age (85-96),Netherlands
The Magician,30.0,0,7.2,Traditional,Modern (97-09),France
Smiling Friends,12.0,1,8.5,Flash/CGI/Stop-Motion/Live-Action,Streaming Era (2010+),United States
The Moxy Show,60.0,0,7.1,CGI,Golden Age (85-96),United States
Pocket Dragon Adventures,30.0,0,6.8,Traditional,Golden Age (85-96),Coproduction
The Secret World of Santa Claus,23.0,0,7.5,Traditional,Modern (97-09),Canada
Auto-B-Good,30.0,1,8.2,CGI,Modern (97-09),United States
Maggie and the Ferocious Beast,22.0,0,6.6,Traditional,Modern (97-09),Canada
Apple & Onion,11.0,0,6.3,Flash,Streaming Era (2010+),United States
Little Big Awesome,12.0,0,7.1,Flash,Streaming Era (2010+),United States
The Forgotten Toys,15.0,0,7.6,Traditional,Golden Age (85-96),United Kingdom
"China, IL",22.0,0,7.1,Flash,Streaming Era (2010+),United States
Cracked,60.0,0,6.9,CGI,Streaming Era (2010+),Canada
Crocadoo,24.0,1,8.1,Traditional,Golden Age (85-96),Australia
Bravest Warriors,5.0,1,8.1,Traditional,Streaming Era (2010+),United States
Uncle Grandpa,15.0,0,4.7,Traditional,Streaming Era (2010+),United States
Diabolik,24.0,0,7.2,Traditional,Modern (97-09),France
Star vs. the Forces of Evil,22.0,1,7.9,"Flash (season 1), Traditional (seasons 2–4)",Streaming Era (2010+),United States
Tabaluga,22.0,0,6.1,Traditional,Modern (97-09),Coproduction
Toad Patrol,30.0,1,7.8,Traditional,Modern (97-09),Canada
Puppydog Tales,10.0,0,7.4,Traditional,Golden Age (85-96),United Kingdom
Quarxs,3.0,0,7.6,CGI,Golden Age (85-96),France
Lucas the Spider,20.0,1,8.0,CGI,Streaming Era (2010+),United States
The Silver Brumby,25.0,1,7.7,Traditional,Golden Age (85-96),Australia
Madeline,30.0,0,6.8,Traditional,Golden Age (85-96),United States
ChalkZone,22.0,0,6.5,Traditional,Modern (97-09),United States
Doki,11.0,1,7.7,Flash,Streaming Era (2010+),Canada
Turtle Island,30.0,0,5.1,Traditional,Golden Age (85-96),France
Bubble Guppies,24.0,0,6.2,"CGI, Traditional",Streaming Era (2010+),Coproduction
Bob and Margaret,30.0,1,7.4,Traditional,Modern (97-09),Coproduction
Deer Squad,11.0,0,6.0,CGI,Streaming Era (2010+),China
What-a-Mess,30.0,0,7.1,Traditional,Golden Age (85-96),United Kingdom
Nico,120.0,0,4.3,Traditional,Modern (97-09),Spain
Animals,45.0,1,7.3,Traditional,Streaming Era (2010+),United States
Rex the Runt,10.0,1,7.9,"Stop-Motion, Live-Action",Modern (97-09),United Kingdom
The Legend of Tarzan,22.0,0,6.7,Traditional,Streaming Era (2010+),United States
Flower Pot Men,12.0,1,7.7,Stop Motion,Modern (97-09),United Kingdom
Chop Chop Ninja,11.0,0,7.1,ToonBoom Harmony,Streaming Era (2010+),Canada
Gremlins: Secrets of the Mogwai,30.0,0,6.9,CGI,,United States
Karate Sheep,7.0,0,6.4,CGI,,France
Koala Man,25.0,0,6.7,Flash,,United States
Moon Girl and Devil Dinosaur,23.0,0,7.5,Traditional,,United States
My Dad the Bounty Hunter,22.0,0,7.3,CGI,,United States
Poor Devil,20.0,0,6.4,Flash,,Spain
Princess Power,15.0,0,4.7,CGI,,United States
"Rock, Paper, Scissors",30.0,0,6.5,Flash,,United States
Rubble & Crew,30.0,0,4.7,CGI,,United States
Shape Island,23.0,0,7.5,Stop Motion,,United States
Velma,25.0,0,1.6,Traditional,,United States
