title,runtimeMinutes,is_successful,averageRating,technique,era,country
Get Blake!,22.0,0,5.2,Flash,Streaming Era (2010+),Coproduction
Get Ed,30.0,0,6.5,CGI,Modern (97-09),Coproduction
Get Rolling with Otis,22.0,1,8.0,CGI,Streaming Era (2010+),United States
Ghostforce,22.0,0,5.2,CGI,Streaming Era (2010+),United States
Glitch Techs,25.0,1,7.7,Flash,Streaming Era (2010+),United States
Go! Go! Cory Carson,11.0,1,7.7,CGI,Streaming Era (2010+),Coproduction
"God, the Devil and Bob",30.0,0,7.5,Traditional,Modern (97-09),United States
Godzilla: The Series,30.0,0,6.8,Traditional,Modern (97-09),United States
Golan the Insatiable,15.0,0,6.8,Flash,Streaming Era (2010+),United States
Hamster & Gretel,11.0,0,6.8,Flash,Streaming Era (2010+),United States
Fourways Farm,9.0,1,8.3,Traditional,Golden Age (85-96),United Kingdom
Elinor Wonders Why,30.0,1,8.0,Flash,Streaming Era (2010+),Coproduction
Elliott from Earth,12.0,0,7.4,Flash,Streaming Era (2010+),United Kingdom
Erky Perky,11.0,0,5.9,CGI,Modern (97-09),Coproduction
El Tigre: The Adventures of Manny Rivera,22.0,0,6.3,Flash,Modern (97-09),United States
Everything's Rosie,11.0,1,7.3,CGI,Streaming Era (2010+),United Kingdom
Exosquad,30.0,1,8.4,Traditional,Golden Age (85-96),United States
Extreme Dinosaurs,30.0,0,6.4,Traditional,Modern (97-09),United States
Extreme Ghostbusters,23.0,0,6.9,Traditional,Modern (97-09),United States
F Is for Family,30.0,1,8.0,Flash,Streaming Era (2010+),United States
El Deafo,25.0,0,7.7,Traditional,Streaming Era (2010+),United States
Eek! The Cat,30.0,1,7.2,Traditional,Golden Age (85-96),Coproduction
Droners,22.0,1,7.8,Flash,Streaming Era (2010+),France
Duck Dodgers,11.0,1,7.7,Traditional,Modern (97-09),United States
DuckTales,23.0,1,8.0,Traditional,Golden Age (85-96),United States
"Dude, That's My Ghost!",11.0,0,5.9,Flash,Streaming Era (2010+),Coproduction
Dumb and Dumber,21.0,0,5.5,Traditional,Golden Age (85-96),United States
Duncanville,22.0,0,6.4,Traditional,Streaming Era (2010+),United States
Eagle Riders,20.0,0,7.7,Traditional,Golden Age (85-96),United States
Earthworm Jim,30.0,0,7.3,Traditional,Golden Age (85-96),United States
Eckhart,22.0,1,7.9,Traditional,Modern (97-09),Coproduction
"Ed, Edd n Eddy",30.0,1,7.4,Traditional,Modern (97-09),Coproduction
Foster's Home for Imaginary Friends,30.0,1,7.5,Flash,Modern (97-09),United States
Fairfax,30.0,0,5.4,Flash,Streaming Era (2010+),United States
Fairy Tale Police Department,24.0,0,7.3,Traditional,Modern (97-09),Australia
Firehouse Tales,30.0,0,7.2,Traditional,Modern (97-09),United States
Fireman Sam,10.0,1,6.0,Stop-motion,Golden Age (85-96),United Kingdom
Fish Hooks,22.0,0,5.0,Flash,Streaming Era (2010+),United States
Fish Police,30.0,1,7.8,Traditional,Golden Age (85-96),United States
Flash Gordon,30.0,0,5.6,Traditional,Golden Age (85-96),Coproduction
Fluffy Gardens,7.0,1,7.9,Flash,Modern (97-09),Ireland
Fly Tales,5.0,0,7.3,Traditional,Modern (97-09),Coproduction
Flying Rhino Junior High,25.0,0,6.4,Traditional,Modern (97-09),Coproduction
Flipper and Lopaka,30.0,0,6.2,Traditional,Modern (97-09),Australia
Filly Funtasia,30.0,0,5.6,CGI,Streaming Era (2010+),Coproduction
Fillmore!,30.0,1,7.6,Traditional,Modern (97-09),United States
Family Dog,30.0,0,6.9,Traditional,Golden Age (85-96),Coproduction
Family Guy,22.0,1,8.1,Traditional (seasons 1–7); Toon Boom Harmony (season 8 onward),Modern (97-09),United States
Fancy Nancy,22.0,0,5.3,CGI,Streaming Era (2010+),United States
Fantastic Max,30.0,0,6.9,Traditional,Golden Age (85-96),United States
Fantasy Patrol,11.0,1,7.6,CGI/Flash,Streaming Era (2010+),Russia
Fantomcat,25.0,1,8.1,Traditional,Golden Age (85-96),United Kingdom
Farzar,30.0,0,5.7,Flash,Streaming Era (2010+),United States
Fast & Furious Spy Racers,23.0,0,5.9,CGI,Streaming Era (2010+),United States
Fat Dog Mendoza,30.0,0,6.0,Traditional,Modern (97-09),Coproduction
Fiddley Foodle Bird,10.0,1,7.8,Traditional,Golden Age (85-96),United Kingdom
Fifi and the Flowertots,10.0,0,5.4,Stop Motion,Modern (97-09),United Kingdom
Fairview,24.0,0,1.4,Flash,Streaming Era (2010+),United States
Hanazuki: Full of Treasures,11.0,1,8.0,Flash,Streaming Era (2010+),United States
Kamp Koral: SpongeBob's Under Years,22.0,0,3.7,CGI,Streaming Era (2010+),United States
Katie and Orbie,30.0,1,7.4,"Traditional (1994–2001), Flash (2002–2003)",Golden Age (85-96),Canada
KaBlam!,30.0,1,7.8,Traditional,Golden Age (85-96),United States
Kick Buttowski: Suburban Daredevil,23.0,0,6.7,Flash,Streaming Era (2010+),United States
Kid vs. Kat,22.0,0,6.1,Flash,Modern (97-09),Canada
Kid-E-Cats,5.0,0,6.6,Flash,Streaming Era (2010+),Coproduction
Kim Possible,22.0,1,7.2,Traditional,Modern (97-09),United States
Kid Cosmic,25.0,1,8.0,Traditional,Streaming Era (2010+),United States
Justin Time,22.0,0,6.7,CGI,Streaming Era (2010+),Canada
Justice League: Gods and Monsters Chronicles,6.0,0,7.5,Traditional,Streaming Era (2010+),United States
JJ Villard's Fairy Tales,11.0,0,5.9,Traditional,Streaming Era (2010+),United States
John Dillermand,5.0,0,6.4,Stop Motion,Streaming Era (2010+),Denmark
Johnny Bravo,30.0,1,7.2,Traditional,Modern (97-09),United States
Jorel's Brother,11.0,1,9.0,Flash/Traditional,Streaming Era (2010+),Brazil
Joshua Jones,10.0,1,8.1,Traditional,Golden Age (85-96),Coproduction
Julius Jr.,11.0,0,4.8,Flash,Streaming Era (2010+),United States
Jumanji,22.0,0,6.4,Traditional,Golden Age (85-96),United States
Jungle Cubs,30.0,0,6.1,Traditional,Golden Age (85-96),United States
Jungle Show,5.0,0,7.7,Traditional,Golden Age (85-96),Coproduction
Junior Express,25.0,1,8.4,"Live action, CGI, Flash",Streaming Era (2010+),Argentina
Justice League,22.0,1,8.5,Traditional,Modern (97-09),United States
Justice League Action,11.0,0,7.5,Traditional,Streaming Era (2010+),United States
King Arthur's Disasters,24.0,0,7.1,Flash,Modern (97-09),United Kingdom
Lapitch the Little Shoemaker,30.0,0,7.2,Traditional,Modern (97-09),Coproduction
Larva,2.0,0,6.9,CGI,Streaming Era (2010+),South Korea
Lascars,1.0,0,7.4,Traditional,Modern (97-09),France
Lavender Castle,10.0,1,8.1,"Stop Motion, CGI",Modern (97-09),United Kingdom
Lazor Wulf,12.0,0,5.4,"Traditional (2019), Flash (2020)",Streaming Era (2010+),United States
Legend of the Three Caballeros,22.0,0,7.6,Flash,Streaming Era (2010+),United States
Kuu Kuu Harajuku,22.0,0,3.8,Flash,Streaming Era (2010+),Coproduction
Kung Fu Panda: The Paws of Destiny,24.0,0,7.2,CGI,Streaming Era (2010+),United States
King of the Hill,30.0,1,7.6,Traditional,Modern (97-09),United States
Kipo and the Age of Wonderbeasts,24.0,1,8.3,Traditional,Streaming Era (2010+),Coproduction
Kipper,47.0,1,7.1,Traditional,Modern (97-09),United Kingdom
Kirby Buckets,25.0,0,5.0,Traditional/Live-Action,Streaming Era (2010+),United States
Kit and Kate,5.0,0,7.4,Flash,Streaming Era (2010+),Coproduction
Kitty Is Not a Cat,11.0,0,6.7,Flash,Streaming Era (2010+),Australia
Kong: The Animated Series,30.0,0,5.7,Traditional,Modern (97-09),Coproduction
Krypto the Superdog,30.0,0,5.7,Traditional,Modern (97-09),United States
King Arthur and the Knights of Justice,30.0,0,7.2,Traditional,Golden Age (85-96),United States
Hero Elementary,30.0,0,6.4,Flash,Streaming Era (2010+),United States
