title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Doctor Snuggles,1979,1979,,13,United Kingdom,,Bronze Age (70s-84),0,7.3,1242.0,25.0,"Animation,Family,Fantasy",tt0081854
Dino Boy in the Lost Valley,1966,1968,,20,United States,,Classic (pre-1970),2,7.1,33.0,7.0,"Adventure,Animation,Comedy",tt15791462
Courageous Cat and Minute Mouse,1960,1962,,130,United States,,Classic (pre-1970),2,7.4,166.0,30.0,"Adventure,Animation,Comedy",tt0278180
Crazylegs Crane,1978,1978,,16,United States,,Bronze Age (70s-84),0,6.0,57.0,7.0,"Animation,Comedy,Family",tt13263200
Crystal Tipps and Alistair,1971,1974,,50,United Kingdom,,Bronze Age (70s-84),3,7.4,60.0,5.0,"Animation,Family",tt0820424
Cutie Honey,1973,1974,,25,Japan,,Bronze Age (70s-84),1,6.7,229.0,25.0,"Action,Adventure,Animation",tt0288933
Cyborg 009,1968,1968,,26,Japan,,Classic (pre-1970),0,5.8,68.0,25.0,"Action,Adventure,Animation",tt0188359
Daithi Lacha,1963,1969,,,Ireland,,Classic (pre-1970),6,,,5.0,"Animation,Family",tt1071250
Dame Oyaji,1974,1974,,26,Japan,,Bronze Age (70s-84),0,,,30.0,Comedy,tt1803377
Danger Mouse,1981,1992,,89,United Kingdom,,Bronze Age (70s-84),11,7.4,4267.0,25.0,"Action,Adventure,Animation",tt0081848
Dastardly and Muttley in Their Flying Machines,1969,1970,,34,United States,,Classic (pre-1970),1,7.1,4253.0,30.0,"Action,Adventure,Animation",tt0063889
Davey and Goliath,1960,1965,,72,United States,,Classic (pre-1970),5,7.5,572.0,15.0,"Animation,Family",tt0055667
Defenders of the Earth,1986,1987,,65,United States,,Golden Age (85-96),1,6.9,1791.0,30.0,"Action,Adventure,Animation",tt0138230
Dennis the Menace,1986,1988,,78,United States,,Golden Age (85-96),2,6.2,6412.0,30.0,"Adventure,Animation,Comedy",tt0166910
Devilman,1972,1973,,39,Japan,,Bronze Age (70s-84),1,6.6,460.0,30.0,"Action,Animation,Fantasy",tt0288355
Devlin,1974,1974,,16,United States,,Bronze Age (70s-84),0,7.1,113.0,30.0,"Action,Adventure,Animation",tt0139981
Dinky Dog,1978,1978,,32,United States,,Bronze Age (70s-84),0,6.0,82.0,,"Animation,Family",tt0287208
Doctor Dolittle,1970,1971,,17,United States,,Bronze Age (70s-84),1,7.5,128.0,30.0,"Adventure,Animation,Family",tt0204086
Fang of the Sun Dougram,1981,1983,,75,Japan,,Bronze Age (70s-84),2,7.4,62.0,25.0,"Action,Adventure,Animation",tt0774082
Fangface,1978,1980,,32,United States,,Bronze Age (70s-84),2,6.2,210.0,30.0,"Action,Animation,Family",tt0144194
Fantadroms,1985,1995,,13,"Latvian SSR, Latvia",,Golden Age (85-96),10,7.9,95.0,7.0,"Animation,Fantasy",tt1882434
Game Center Arashi,1982,1982,,26,Japan,,Bronze Age (70s-84),0,,,,Action,tt29489545
Genesis Climber MOSPEADA,1983,1984,,25,Japan,,Bronze Age (70s-84),1,7.4,319.0,,"Action,Adventure,Animation",tt0156215
Genshi Shônen Ryû,1971,1971,,,Japan,,Bronze Age (70s-84),0,7.1,92.0,25.0,"Action,Adventure,Animation",tt7062100
Getter Robo,1974,1975,,51,Japan,,Bronze Age (70s-84),1,7.5,211.0,25.0,"Action,Adventure,Animation",tt0275838
Ghostbusters,1986,1986,,65,United States,,Golden Age (85-96),0,6.3,3442.0,25.0,"Adventure,Animation,Comedy",tt0127569
Giant Gorg,1984,1984,,26,Japan,,Bronze Age (70s-84),0,7.0,62.0,30.0,"Action,Animation,War",tt0454348
Gilligan's Planet,1982,1983,,13,United States,,Bronze Age (70s-84),1,6.0,233.0,30.0,"Animation,Comedy,Family",tt0083422
Glass Mask,1984,1984,,23,Japan,,Bronze Age (70s-84),0,7.3,101.0,24.0,Animation,tt0294091
Go Go Gophers,1966,1966,,,United States,,Classic (pre-1970),0,6.6,145.0,30.0,"Animation,Comedy,Family",tt0062566
God Mazinger,1984,1984,,23,Japan,,Bronze Age (70s-84),0,6.8,64.0,30.0,"Action,Animation,Fantasy",tt0421351
Goldie Gold and Action Jack,1981,1981,,26,United States,,Bronze Age (70s-84),0,7.5,98.0,30.0,"Adventure,Animation",tt0251511
Goober and the Ghost Chasers,1973,1973,,16,United States,,Bronze Age (70s-84),0,6.3,259.0,30.0,"Animation,Comedy,Family",tt0157227
"Good Morning, Mickey!",1983,1992,,80,United States,,Bronze Age (70s-84),9,,,60,Animation,tt32306251
GoShogun,1981,1981,,26,Japan,,Bronze Age (70s-84),0,6.8,76.0,30.0,"Action,Animation,Sci-Fi",tt0294184
Galtar and the Golden Lance,1985,1986,,21,United States,,Golden Age (85-96),1,7.1,317.0,30.0,"Action,Animation,Fantasy",tt0191149
Galaxy Trio,1967,1968,,20,United States,,Classic (pre-1970),1,7.8,50.0,7.0,"Adventure,Animation,Comedy",tt17538638
Galaxy Goof-Ups,1978,1979,,13,United States,,Bronze Age (70s-84),1,6.8,81.0,30.0,"Adventure,Animation,Comedy",tt0299305
Future Boy Conan,1978,1978,,26,Japan,,Bronze Age (70s-84),0,8.8,5754.0,24.0,"Adventure,Animation,Comedy",tt0077013
Fantastic Four,1967,1968,,20,United States,,Classic (pre-1970),1,6.6,1851.0,22.0,"Action,Adventure,Animation",tt0061250
Fantastic Voyage,1968,1968,,17,United States,,Classic (pre-1970),0,7.3,272.0,30.0,"Adventure,Animation,Sci-Fi",tt0062559
Fat Albert and the Cosby Kids,1972,1984,,109,United States,,Bronze Age (70s-84),12,6.7,2816.0,30.0,"Animation,Comedy,Family",tt0068072
Festival of Family Classics,1972,1972,,20,United States,,Bronze Age (70s-84),0,7.3,97.0,23.0,"Adventure,Animation,Family",tt0246619
Fight Da!! Pyûta,1968,1968,,,Japan,,Classic (pre-1970),0,6.2,26.0,30.0,"Adventure,Animation,Comedy",tt1077357
Fingerbobs,1972,1972,,13,United Kingdom,,Bronze Age (70s-84),0,7.1,159.0,15.0,"Animation,Family",tt0823161
Fingermouse,1985,1985,,13,United Kingdom,,Golden Age (85-96),0,6.5,48.0,15.0,Family,tt0825518
Cool McCool,1966,1966,,20,United States,,Classic (pre-1970),0,6.9,216.0,30.0,"Action,Adventure,Animation",tt0059975
Fist of the North Star,1984,1987,,109,Japan,,Bronze Age (70s-84),3,8.1,4210.0,25.0,"Action,Adventure,Animation",tt0091211
Foofur,1986,1988,,26,United States,,Golden Age (85-96),2,5.9,239.0,30.0,"Animation,Comedy,Family",tt0286359
Fractured Fairy Tales,1959,1959,,91,United States,,Classic (pre-1970),0,8.4,246.0,,"Adventure,Animation,Comedy",tt3121884
Fraidy Cat,1975,1976,,18,United States,,Bronze Age (70s-84),1,5.8,96.0,6.0,Animation,tt1470835
"Frakk, a macskák réme",1972,1987,,,Hungary,,Bronze Age (70s-84),15,7.7,908.0,7.0,Animation,tt0167595
Fred and Barney Meet the Shmoo,1979,1980,,13,United States,,Bronze Age (70s-84),1,6.1,83.0,90.0,"Animation,Comedy,Family",tt0298649
Fred and Barney Meet the Thing,1979,1979,,13,United States,,Bronze Age (70s-84),0,5.4,298.0,60.0,"Adventure,Animation,Family",tt0077091
Fred Flintstone and Friends,1977,1978,,16,United States,,Bronze Age (70s-84),1,6.8,150.0,30.0,"Animation,Family",tt0242201
Foo-Foo,1960,1962,,33,United Kingdom,,Classic (pre-1970),2,5.4,14.0,6.0,Animation,tt0145608
Cockleshell Bay,1980,1986,,104,United Kingdom,,Bronze Age (70s-84),6,6.8,57.0,10.0,"Animation,Family",tt0433281
Clutch Cargo,1959,1959,,52,United States,,Classic (pre-1970),0,5.7,331.0,4.0,"Action,Adventure,Animation",tt0124937
Clue Club,1976,1979,,16,United States,,Bronze Age (70s-84),3,6.9,250.0,25.0,"Animation,Comedy,Family",tt0125612
Astroganger,1972,1972,,,Japan,,Bronze Age (70s-84),0,7.2,204.0,20.0,"Action,Animation,Sci-Fi",tt1933696
Attack No. 1,1969,1971,,104,Japan,,Classic (pre-1970),2,6.9,592.0,24.0,"Animation,Drama,Sport",tt0296304
Attack on Tomorrow,1977,1977,,23,Japan,,Bronze Age (70s-84),0,6.2,34.0,24.0,"Animation,Drama,Sport",tt6921512
Attacker You!,1984,1985,,58,Japan,,Bronze Age (70s-84),1,6.6,514.0,24.0,"Action,Animation,Family",tt0294007
Aubrey,1980,1980,,39,United Kingdom,,Bronze Age (70s-84),0,7.4,32.0,6,"Animation,Family",tt1227197
Augie Doggie and Doggie Daddy,1959,1961,,45,United States,,Classic (pre-1970),2,6.3,208.0,7.0,"Adventure,Animation,Comedy",tt11425668
Aura Battler Dunbine,1983,1984,,49,Japan,,Bronze Age (70s-84),1,7.1,171.0,24.0,"Action,Adventure,Animation",tt0084976
Bagpuss,1974,1974,,13,United Kingdom,,Bronze Age (70s-84),0,7.7,1234.0,15.0,"Animation,Comedy,Family",tt0070970
Bailey's Comets,1973,1975,,32,United States,,Bronze Age (70s-84),2,6.9,55.0,30.0,"Adventure,Animation,Family",tt0254006
Bamse,1966,1981,,15,Sweden,,Classic (pre-1970),15,7.1,209.0,15.0,"Animation,Family,Short",tt1309085
Bananaman,1983,1986,,40,United Kingdom,,Bronze Age (70s-84),3,6.7,1902.0,5.0,"Action,Adventure,Animation",tt0084980
Batfink,1966,1967,,100,United States,,Classic (pre-1970),1,6.8,141.0,5.0,"Action,Animation,Comedy",tt11425960
Battle of the Planets,1978,1980,,85,"US, Japan",,Bronze Age (70s-84),2,7.6,2485.0,30.0,"Action,Adventure,Animation",tt0076983
Beast King GoLion,1981,1982,,52,Japan,,Bronze Age (70s-84),1,7.3,225.0,23.0,"Action,Adventure,Animation",tt0137287
Belle and Sebastian,1981,1982,,52,Japan,,Bronze Age (70s-84),1,7.3,1084.0,24.0,"Adventure,Animation",tt0283710
Astro Boy,1980,1981,,52,Japan,,Bronze Age (70s-84),1,7.3,1138.0,24.0,"Action,Adventure,Animation",tt0124228
Arthur! And the Square Knights of the Round Table,1966,1966,,,Australia,,Classic (pre-1970),0,7.8,99.0,30.0,"Animation,Comedy,Family",tt0220912
A Rubovian Legend,1955,1955,,,United Kingdom,,Classic (pre-1970),0,7.0,10.0,20.0,Family,tt0220932
Acrobunch,1982,1982,,24,Japan,,Bronze Age (70s-84),0,5.7,22.0,24.0,Animation,tt11400164
Adventures of the Little Koala,1984,1985,,52,Japan,,Bronze Age (70s-84),1,7.2,184.0,,"Adventure,Animation,Family",tt0202181
Akai Tori no Kokoro,1979,1979,,,Japan,,Bronze Age (70s-84),0,,,,Animation,tt31465831
Akane-chan,1968,1968,,,Japan,,Classic (pre-1970),0,,,,"Animation,Comedy",tt31469608
Alfons Åberg,1979,1979,,,Sweden,,Bronze Age (70s-84),0,7.0,466.0,10.0,"Animation,Family,Short",tt1408434
Alias the Jester,1985,1985,,13,United Kingdom,,Golden Age (85-96),0,7.9,66.0,10.0,"Animation,Family",tt0497006
Bertha,1985,1986,,13,United Kingdom,,Golden Age (85-96),1,7.4,247.0,15.0,"Animation,Comedy,Family",tt0211240
Animal 1,1968,1968,,,Japan,,Classic (pre-1970),0,,,30.0,"Animation,Sport",tt1661471
Anne of Green Gables,1979,1979,,50,Japan,,Bronze Age (70s-84),0,7.7,2420.0,24.0,"Animation,Drama,Family",tt0078560
Aquaman,1967,1967,,36,United States,,Classic (pre-1970),0,6.5,934.0,30.0,"Action,Adventure,Animation",tt0433278
Arabian Knights,1968,1969,,18,United States,,Classic (pre-1970),1,7.4,162.0,10.0,"Adventure,Animation,Family",tt0363312
Archie's TV Funnies,1971,1973,,16,United States,,Bronze Age (70s-84),2,7.7,126.0,30.0,"Animation,Comedy,Family",tt0066629
Armored Trooper Votoms,1983,1984,,52,Japan,,Bronze Age (70s-84),1,7.6,285.0,,"Action,Animation,Drama",tt0085092
Around the World in 79 Days,1969,1971,,17,United States,,Classic (pre-1970),2,6.1,37.0,10.0,"Adventure,Animation,Comedy",tt11424874
Around the World with Willy Fog,1983,1983,,26,"Spain, Japan",,Bronze Age (70s-84),0,7.5,3835.0,24.0,"Adventure,Animation,Family",tt0135114
Animal Kwackers,1975,1975,,,United Kingdom,,Bronze Age (70s-84),0,6.3,38.0,20.0,"Comedy,Family,Fantasy",tt0266115
Gran,1983,1983,,13,United Kingdom,,Bronze Age (70s-84),0,8.0,109.0,5.0,"Animation,Comedy,Drama",tt0435959
Big X,1964,1965,,59,Japan,,Classic (pre-1970),1,6.7,15.0,25.0,Animation,tt12596566
Birdman,1967,1968,,40,United States,,Classic (pre-1970),1,6.7,1193.0,30.0,"Action,Adventure,Animation",tt0061237
Captain Kangaroo,1955,1984,,,United States,,Classic (pre-1970),29,8.1,1722.0,60.0,Family,tt0047718
Captain Pugwash,1957,1998,,58,United Kingdom,,Classic (pre-1970),41,6.8,275.0,5.0,"Animation,Family",tt0199193
Captain Scarlet and the Mysterons,1967,1967,,,United Kingdom,,Classic (pre-1970),0,7.8,2147.0,25.0,"Action,Crime,Drama",tt0059973
Captain Tsubasa,1983,1986,,128,Japan,,Bronze Age (70s-84),3,7.9,8853.0,25.0,"Animation,Comedy,Drama",tt0294023
Cartoon Party,1959,1962,,,Canada,,Classic (pre-1970),3,,,30.0,"Animation,Comedy,Family",tt0341710
Casper and the Angels,1979,1979,,13,United States,,Bronze Age (70s-84),0,5.8,195.0,30.0,"Animation,Comedy,Family",tt0190900
Casshan,1973,1974,,35,Japan,,Bronze Age (70s-84),1,7.5,246.0,25.0,"Action,Adventure,Animation",tt0192886
Cat's Eye,1983,1985,,73,Japan,,Bronze Age (70s-84),2,7.3,1245.0,24.0,"Action,Adventure,Animation",tt0131160
Cattanooga Cats,1969,1971,,9,United States,,Classic (pre-1970),2,6.3,140.0,60.0,"Animation,Comedy,Family",tt0063883
Challenge of the GoBots,1984,1985,,65,United States,,Bronze Age (70s-84),1,6.3,1204.0,30.0,"Action,Adventure,Animation",tt0139769
Chargeman Ken!,1974,1974,,65,Japan,,Bronze Age (70s-84),0,5.0,101.0,10.0,"Action,Adventure,Animation",tt1802896
Chigley,1969,1969,,,United Kingdom,,Classic (pre-1970),0,7.5,184.0,15.0,"Animation,Family",tt0063884
Chingo Muchabei,1971,1971,,,Japan,,Bronze Age (70s-84),0,,,30.0,"Animation,Comedy",tt1034700
Chorlton and the Wheelies,1976,1979,,40,United Kingdom,,Bronze Age (70s-84),3,7.8,268.0,12.0,"Animation,Family",tt0313048
Chuck Norris: Karate Kommandos,1986,1986,,5,United States,,Golden Age (85-96),0,5.7,359.0,30.0,"Action,Animation,Family",tt0165166
Captain Future,1978,1979,,53,Japan,,Bronze Age (70s-84),1,7.9,1738.0,30.0,"Adventure,Animation,Sci-Fi",tt0122336
Captain Fathom,1965,1965,,26,United States,,Classic (pre-1970),0,4.9,48.0,30.0,"Adventure,Animation,Family",tt0472942
Captain Caveman and the Teen Angels,1977,1980,,40,United States,,Bronze Age (70s-84),3,6.4,4416.0,11.0,"Animation,Comedy,Family",tt0284712
Capt'n Sailorbird,1959,1960,,190,United States,,Classic (pre-1970),1,,,30.0,Animation,tt0285349
Blackstar,1981,1982,,13,United States,,Bronze Age (70s-84),1,6.7,925.0,25.0,"Adventure,Animation,Family",tt0170881
Blast-Off Buzzard,1977,1977,,13,United States,,Bronze Age (70s-84),0,5.3,40.0,6.0,"Action,Animation,Comedy",tt11429264
Bleep and Booster,1963,1977,,313,United Kingdom,,Classic (pre-1970),14,6.6,15.0,5.0,"Animation,Family",tt0823858
Bod,1975,1975,,13,United Kingdom,,Bronze Age (70s-84),0,7.1,178.0,15.0,"Animation,Family,Music",tt0367295
Bojan the Bear,1985,1999,,36,Slovenia,,Golden Age (85-96),14,8.1,30.0,5.0,"Adventure,Animation",tt9614878
Bolek i Lolek,1963,1986,,150,Poland,,Classic (pre-1970),23,7.0,2107.0,10.0,"Adventure,Animation,Comedy",tt0146370
Bosco Adventure,1986,1987,,26,Japan,,Golden Age (85-96),1,8.5,181.0,24.0,"Action,Adventure,Animation",tt0847541
Bigfoot and the Muscle Machines,1985,1986,,9,United States,,Golden Age (85-96),1,5.2,38.0,6.0,"Action,Adventure,Animation",tt0243690
Bozo: The World's Most Famous Clown,1958,1962,,156,United States,,Classic (pre-1970),4,7.2,67.0,5.0,"Animation,Comedy",tt1298884
Breezly and Sneezly,1964,1965,,23,United States,,Classic (pre-1970),1,6.4,72.0,7.0,"Adventure,Animation,Comedy",tt11427396
Bucky and Pepito,1959,1959,,36,United States,,Classic (pre-1970),0,2.9,182.0,,"Animation,Comedy,Western",tt0423626
Buford and the Galloping Ghost,1978,1979,,13,United States,,Bronze Age (70s-84),1,6.7,62.0,,"Animation,Comedy,Family",tt0078580
Butch Cassidy,1973,1973,,13,United States,,Bronze Age (70s-84),0,6.6,143.0,30.0,"Adventure,Animation,Comedy",tt0170883
Calvin and the Colonel,1961,1962,,26,United States,,Classic (pre-1970),1,6.3,98.0,30.0,"Animation,Comedy,Family",tt0054527
Camberwick Green,1966,1966,,,United Kingdom,,Classic (pre-1970),0,7.6,420.0,15.0,"Animation,Family",tt0059972
Candy Candy,1976,1979,,115,Japan,,Bronze Age (70s-84),3,8.0,2178.0,30.0,"Animation,Drama,Family",tt0270761
Brave Raideen,1975,1976,,50,Japan,,Bronze Age (70s-84),1,6.3,88.0,30.0,"Adventure,Animation,Fantasy",tt0374472
Great Mazinger,1974,1975,,56,Japan,,Bronze Age (70s-84),1,7.5,558.0,30.0,"Action,Animation,Sci-Fi",tt0421352
Groovie Goolies,1970,1971,,16,United States,,Bronze Age (70s-84),1,7.3,445.0,60.0,"Animation,Comedy,Drama",tt0065342
Gusztáv,1964,1977,,120,Hungary,,Classic (pre-1970),13,7.5,159.0,,Animation,tt3062866
Noozles,1984,1984,,26,Japan,,Bronze Age (70s-84),0,7.7,219.0,24.0,"Adventure,Animation,Comedy",tt0302211
Norakuro,1970,1971,,26,Japan,,Bronze Age (70s-84),1,6.8,12.0,25.0,"Animation,Comedy,War",tt0832277
Off To See The Wizard,1967,1967,,,United States,,Classic (pre-1970),0,6.8,92.0,60.0,"Animation,Family,Fantasy",tt0061284
Ojamanga Yamada-kun,1980,1982,,103,Japan,,Bronze Age (70s-84),2,,,103.0,"Animation,Comedy,Family",tt5147776
Onbu Obake,1972,1972,,,Japan,,Bronze Age (70s-84),0,,,30.0,Animation,tt21141260
Once Upon a Time... Man,1978,1978,,26,France,,Bronze Age (70s-84),0,8.0,4724.0,25.0,"Adventure,Animation,Drama",tt0264244
Once Upon a Time... Space,1982,1982,,26,France,,Bronze Age (70s-84),0,7.5,1995.0,26.0,"Adventure,Animation,Family",tt0282303
Ore wa Teppei,1977,1977,,28,Japan,,Bronze Age (70s-84),0,4.3,28.0,24.0,"Animation,Comedy,Sport",tt6754718
Osomatsu-kun,1966,1967,,60,Japan,,Classic (pre-1970),1,7.3,52.0,30.0,"Animation,Comedy",tt1077186
Pac-Man,1982,1983,,44,United States,,Bronze Age (70s-84),1,6.0,678.0,30.0,"Action,Adventure,Animation",tt0083461
Pandamonium,1982,1983,,13,United States,,Bronze Age (70s-84),1,6.3,100.0,30.0,"Adventure,Animation,Family",tt0238795
Panzer World Galient,1984,1984,,25,Japan,,Bronze Age (70s-84),0,7.2,39.0,24.0,"Action,Animation,Fantasy",tt1945851
Pat & Mat,1976,1976,,129,Czech Republic,,Bronze Age (70s-84),0,8.4,3519.0,,"Animation,Comedy,Family",tt0841929
Patalliro!,1982,1982,,13,Japan,,Bronze Age (70s-84),0,7.1,48.0,,"Adventure,Animation,Comedy",tt3650462
Paw Paws,1985,1986,,21,United States,,Golden Age (85-96),1,6.8,225.0,,"Adventure,Animation,Family",tt0283769
Noggin the Nog,1959,1965,,42,United Kingdom,,Classic (pre-1970),6,8.5,142.0,10.0,"Animation,Family,Fantasy",tt0121002
Noah and Nelly in... SkylArk,1976,1977,,15,United Kingdom,,Bronze Age (70s-84),1,7.2,39.0,5.0,"Animation,Family",tt0074033
Ninjaman Ippei,1982,1982,,13,Japan,,Bronze Age (70s-84),0,,,,"Animation,Comedy,Family",tt11405026
Mission: Magic!,1973,1973,,16,United States,,Bronze Age (70s-84),0,8.3,111.0,,Animation,tt0141606
Mister Magoo,1960,1960,,27,United States,,Classic (pre-1970),0,6.5,687.0,5.0,"Animation,Comedy",tt1044551
Miyuki,1983,1984,,37,Japan,,Bronze Age (70s-84),1,7.3,61.0,24.0,"Animation,Comedy,Drama",tt0305070
Mobile Suit Gundam,1979,1980,,43,Japan,,Bronze Age (70s-84),1,7.9,3402.0,30.0,"Action,Adventure,Animation",tt0159172
Mobile Suit Gundam ZZ,1986,1987,,47,Japan,,Golden Age (85-96),1,6.7,922.0,30.0,"Action,Animation,Comedy",tt0159184
Mobile Suit Zeta Gundam,1985,1985,,50,Japan,,Golden Age (85-96),0,8.0,1947.0,30.0,"Action,Animation,Drama",tt0159186
Monarch: The Big Bear of Tallac,1977,1977,,,Japan,,Bronze Age (70s-84),0,7.2,412.0,26.0,"Adventure,Animation,Family",tt0298695
Peabody's Improbable History,1959,1959,,91,United States,,Classic (pre-1970),0,7.9,156.0,5.0,"Animation,Comedy,Sci-Fi",tt4397876
Monchhichis,1983,1984,,13,United States,,Bronze Age (70s-84),1,6.5,226.0,30.0,"Animation,Family",tt0213359
Moschops,1983,1983,,13,United Kingdom,,Bronze Age (70s-84),0,7.2,34.0,5.0,"Animation,Family",tt0310497
Motormouse and Autocat,1969,1971,,34,United States,,Classic (pre-1970),2,6.1,99.0,30.0,Animation,tt0320078
Mr Benn,1971,1972,,14,United Kingdom,,Bronze Age (70s-84),1,7.6,1067.0,15.0,"Animation,Family,Fantasy",tt0065322
Murun Buchstansangur,1982,1988,,13,United Kingdom,,Bronze Age (70s-84),6,8.3,111.0,4.0,Animation,tt0819955
Musashi no Ken,1985,1985,,13,Japan,,Golden Age (85-96),0,5.2,6.0,,"Animation,Comedy,Drama",tt28024274
My Favorite Martians,1973,1973,,16,United States,,Bronze Age (70s-84),0,7.7,116.0,30.0,"Animation,Comedy,Family",tt0128001
Mork & Mindy/Laverne & Shirley/Fonz Hour,1982,1983,,26,United States,,Bronze Age (70s-84),1,6.2,374.0,60.0,"Animation,Comedy,Family",tt0083450
Miss Machiko,1981,1983,,95,Japan,,Bronze Age (70s-84),2,7.3,55.0,24.0,"Animation,Comedy",tt2211702
Perman,1967,1968,,65,Japan,,Classic (pre-1970),1,7.4,914.0,30.0,"Action,Adventure,Animation",tt1661629
Pigeon Street,1981,1981,,13,United Kingdom,,Bronze Age (70s-84),0,7.1,144.0,15.0,"Animation,Family",tt0281477
Reksio,1967,1988,,65,Poland,,Classic (pre-1970),21,7.1,821.0,10.0,"Adventure,Animation,Comedy",tt5724532
Rescueman,1980,1981,,52,Japan,,Bronze Age (70s-84),1,6.7,21.0,,Animation,tt1527559
Return to the Planet of the Apes,1975,1975,,13,United States,,Bronze Age (70s-84),0,6.3,2110.0,24.0,"Adventure,Animation,Sci-Fi",tt0207267
Rickety Rocket,1979,1980,,16,United States,,Bronze Age (70s-84),1,7.5,33.0,23.0,"Adventure,Animation,Comedy",tt11428984
Ricochet Rabbit & Droop-a-Long,1964,1967,,23,United States,,Classic (pre-1970),3,6.9,135.0,7.0,"Animation,Comedy,Family",tt11428962
Robby the Rascal,1982,1983,,39,Japan,,Bronze Age (70s-84),1,6.2,32.0,25.0,"Animation,Comedy,Family",tt0290047
Robo Story,1985,1985,,52,France,,Golden Age (85-96),0,7.8,51.0,25.0,Animation,tt0996250
Robotech,1985,1985,,85,"US, Japan",,Golden Age (85-96),0,8.5,4322.0,30.0,"Action,Adventure,Animation",tt0088595
Robotix,1985,1986,,15,United States,,Golden Age (85-96),1,6.5,168.0,7.0,"Action,Animation,Family",tt0243726
Rocket Robin Hood,1966,1969,,52,Canada,,Classic (pre-1970),3,6.4,296.0,22.0,"Adventure,Animation,Family",tt0135735
Rod Rocket,1963,1963,,65,United States,,Classic (pre-1970),0,4.4,24.0,5.0,"Adventure,Animation",tt1129009
Roger Ramjet,1965,1965,,156,United States,,Classic (pre-1970),0,6.7,335.0,5.0,"Animation,Comedy,Family",tt0161186
Roobarb,1974,1974,,30,United Kingdom,,Bronze Age (70s-84),0,7.1,314.0,5.0,"Animation,Comedy,Family",tt0071043
"Rubik, the Amazing Cube",1983,1984,,13,United States,,Bronze Age (70s-84),1,4.7,162.0,30.0,"Adventure,Animation,Family",tt0085082
Saint Seiya,1986,1989,,145,Japan,,Golden Age (85-96),3,8.5,12534.0,24.0,"Action,Adventure,Animation",tt0161952
Rainbow Brite,1984,1985,,13,United States,,Bronze Age (70s-84),1,6.9,1679.0,24.0,"Animation,Family",tt0174422
Queen Millennia,1981,1982,,42,Japan,,Bronze Age (70s-84),1,7.9,241.0,24.0,"Animation,Drama,Mystery",tt0185110
Q.T. Hush,1960,1961,,100,United States,,Classic (pre-1970),1,6.9,58.0,,"Animation,Crime,Family",tt0286382
Pyun Pyun Maru,1967,1967,,,Japan,,Classic (pre-1970),0,,,30.0,Animation,tt1032840
Pinch to Punch,1969,1970,,,Japan,,Classic (pre-1970),1,,,5.0,"Animation,Comedy",tt1032839
Pink Panther and Sons,1984,1985,,27,United States,,Bronze Age (70s-84),1,5.5,228.0,30.0,"Animation,Comedy,Family",tt0420438
Pob's Programme,1985,1990,,82,United Kingdom,,Golden Age (85-96),5,8.0,63.0,30.0,"Family,Fantasy",tt0443399
Pole Position,1984,1984,,13,United States,,Bronze Age (70s-84),0,6.5,404.0,30.0,"Action,Adventure,Animation",tt0086781
Popeye the Sailor,1960,1962,,220,United States,,Classic (pre-1970),2,7.1,15542.0,30.0,"Adventure,Animation,Comedy",tt0145628
Posse Impossible,1977,1977,,13,United States,,Bronze Age (70s-84),0,6.2,29.0,6.0,"Animation,Comedy,Crime",tt11429040
"Persia, the Magic Fairy",1984,1985,,48,Japan,,Bronze Age (70s-84),1,6.9,79.0,24.0,"Animation,Comedy,Family",tt0288988
Postman Pat,1981,2017,,167,United Kingdom,,Bronze Age (70s-84),36,6.4,3811.0,15.0,"Animation,Comedy,Family",tt0149509
Precious Pupp,1965,1966,,26,United States,,Classic (pre-1970),1,6.5,160.0,30.0,"Animation,Comedy,Family",tt0303512
Prince Planet,1965,1966,,,Japan,,Classic (pre-1970),1,7.9,234.0,30.0,"Action,Animation,Family",tt0127390
Princess Knight,1967,1968,,52,Japan,,Classic (pre-1970),1,7.3,248.0,25.0,"Adventure,Animation,Family",tt0121655
Pro Golfer Saru,1985,1985,,13,Japan,,Golden Age (85-96),0,6.4,13.0,24.0,"Animation,Sport",tt3896032
Professor Balthazar,1967,1967,,,Croatia,,Classic (pre-1970),0,7.9,1183.0,7.0,"Animation,Comedy,Family",tt1309602
Psycho Armor Govarian,1983,1983,,26,Japan,,Bronze Age (70s-84),0,5.8,22.0,30.0,"Action,Adventure,Animation",tt0431563
Punkin' Puss & Mushmouse,1964,1967,,23,United States,,Classic (pre-1970),3,6.9,69.0,7.0,"Adventure,Animation,Comedy",tt11429020
Potato Head Kids,1986,1987,,23,United States,,Golden Age (85-96),1,6.2,130.0,11.0,"Adventure,Animation,Comedy",tt0243723
Samurai Giants,1973,1973,,,Japan,,Bronze Age (70s-84),0,6.9,31.0,30,"Animation,Sport",tt4058350
Minna no Uta,1961,,,,Japan,,Classic (pre-1970),62,,,5.0,"Animation,Music,Short",tt4925506
Mighty Man and Yukk,1979,1979,,,United States,,Bronze Age (70s-84),0,5.9,39.0,11.0,"Action,Animation,Comedy",tt11434664
Igano Kabamaru,1983,1984,,24,Japan,,Bronze Age (70s-84),1,8.9,786.0,23.0,"Action,Adventure,Animation",tt0903437
