title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Kaeloo,2010,,4,202,France,CGI,Streaming Era (2010+),13,7.9,137.0,7.0,"Animation,Comedy,Family",tt1575922
Sharky & George,1988,1992,2,52,"Canada, France",Traditional,Golden Age (85-96),4,6.9,489.0,26.0,"Adventure,Animation,Comedy",tt0103542
Papawa,2008,2008,,104,Spain,Flash,Modern (97-09),0,6.9,12.0,,Animation,tt5280510
101 Dalmatian Street,2019,2020,1,40,"United Kingdom, Canada",Toon Boom Harmony,Streaming Era (2010+),1,6.0,624.0,22.0,"Animation,Comedy,Family",tt7019028
Crusader Rabbit,1948,1959,,195,United States,,Classic (pre-1970),11,7.2,195.0,4.0,"Adventure,Animation,Family",tt0042097
Star Street: The Adventures of the Star Kids,1989,1990,1,26,Netherlands,Traditional,Golden Age (85-96),1,7.6,45.0,30.0,"Animation,Comedy,Family",tt1386723
The Magician,1997,1998,1,39,France,Traditional,Modern (97-09),1,7.2,161.0,30.0,"Action,Adventure,Animation",tt0205659
Kiko,2016,,,52,Indonesia,CGI,Streaming Era (2010+),7,7.8,73.0,30.0,"Adventure,Animation,Comedy",tt6558422
Peepoodo & The Super Fuck Friends,2019,,2,26,French,Flash,Streaming Era (2010+),4,7.5,289.0,,"Adult,Animation,Comedy",tt10958980
Dibo the Gift Dragon,2004,2004,,52,South Korea,CGI,Modern (97-09),0,6.8,48.0,,"Adventure,Animation,Comedy",tt2718164
Flight Squad,1998,1998,1,26,"Canada, France",Traditional,Modern (97-09),0,7.3,29.0,,"Adventure,Animation",tt0272382
Smiling Friends,2022,,1,9,United States,Flash/CGI/Stop-Motion/Live-Action,Streaming Era (2010+),1,8.5,29983.0,12,"Animation,Comedy,Short",tt12074628
The Legend of White Fang,1992,1994,1,26,"Canada, France",Traditional,Golden Age (85-96),2,8.0,91.0,,"Adventure,Animation,Family",tt1378119
The Atom Ant/Secret Squirrel Show,1965,1966,,26,United States,,Classic (pre-1970),1,6.9,233.0,30.0,"Animation,Comedy,Family",tt0061234
The Moxy Show,1993,2000,1,24,United States,CGI,Golden Age (85-96),7,7.1,92.0,60.0,"Animation,Comedy",tt0243076
